bing.mp3
true
Bing Crosby - Look like Christmas
Classic
0	1,2,3,4,5,6,7,8		Instrumental
3623	1,3,5,7	2,4,6	
4814	2,4,6	1,3,5,7	
6102	1,3,5,7	2,4,6	
7454	2,4,6	1,3,5,7	
8678	1,3,5,7	2,4,6	
9334	2,4,6	1,3,5,7	  "It's beginning to...." - 3 Light travel
10062	1,2,3	4,5,6,7,8	 [making sure all lights are off]
11326	2,3,4	1	
12582	3,4,5	2	
13902	4,5,6	3	
15054	5,6,7	4	
16302	6,7,1	5	
17590	7,1,2	6	
18838	1,2,3	7	
20046	2,3,4	1	
21374	3,4,5	2	
22590	4,5,6	3	
23766	5,6,7	4	
25014	6,7,1	5	
25702	7,1,2	6	
26326	1,2,3	7	
26941	2,3,4	1	
27550	3,4,5	2	
28791	4,5,6	3	
30134	1,2,3	4,5,6	 "It's beginning to...."
30638	4,5,6,7	1,2,3	
31926	1,2,3	4,5,6,7	
33166	4,5,6,7	1,2,3	
34438	1,2,3	4,5,6,7	
35774	4,5,6,7	1,2,3	
37061	1,2,3	4,5,6,7	
38246	4,5,6,7	1,2,3	
39558	1,2,3	4,5,6,7	
40813	4,5,6,7	1,2,3	
42126	1,2,3	4,5,6,7	
43454	4,5,6,7	1,2,3	
44686	1,2,3	4,5,6,7	
46021	4,5,6,7	1,2,3	
47358	1,2,3	4,5,6,7	
48669	4,5,6,7	1,2,3	
49293	1,2,3	4,5,6,7	
49838	4,5,6,7	1,2,3	
50502	1,2,3	4,5,6,7	
51798	4,5,6,7	1,2,3	
53284	1,2,3,4,5,6,7	8	 [Quick 3]  53679
53891	8	1,2,3,4,5,6,7	54320
54555	1,2,3,4,5,6,7	8	54967
55518	3,7	1,2,4,5,6,8	 [RED]
56775	2,6	3,7	 [BLUE]
58219	8	1,2,3,4,5,6,7	 [Quick 3]  58656
58843	1,2,3,4,5,6,7	8	59280
59476	8	1,2,3,4,5,6,7	59951
60526	1	8	
61694	3		
62862	5		
63446	7		
64030	1,2,3,4,5,6,7,8		
64686	1	2,3,4,5,6,7,8	BIG
65237	2	  	
66478	3	  	
67750	4	  	
69061	5	  	
70270	6	  	
71453	7	  	
72790		7	
74102		6	
75286		5	
76534		4	
77814		3	
79149		2	
80382		1	
81678	7	  	
82950	6	  	
84134	5	  	
85597	4	  	
86958	3	  	
88165	2	  	
89494	1	  	
90718		4	
92038		3,5	
93349		2,6	
94766	3,5	1,7	
96318	2,6	3,5	
97374	4,1,7	2,6	
98646	1,2,3,4,5,6,7		
99933		6	
101262		5	
102511		4	
103766		3	
105030		2	
105686		1	BIG
107054	1,6	2,5,3,4	
108214	1,6,2	5,3,4	
109510	1,6,2,5,3,4		
110757	2,5,3,4	1,6	
112022	3,4	1,6,2,5	
113222		1,6,2,5,3,4	
114447	3,4	1,6,2,5	
115773	2,5	1,6,3,4	
116518	1,6	2,5,3,4	
117182		1,2,3,4,5,6	
117909	1	2,3,4,5,6	
119126	2	1,3,4,5,6	
119702	1,3	2,4,5,6	
120302	2,4	1,3,5,6	
121527	1,3,5	2,4,6	
122166	2,4,6	1,3,5	
122750	1,3,5	2,4,6	
123366	2,4,6	1,3,5	
124022	1,3,5	2,4,6	
125278	2,4,6	1,3,5	
126494	3,5	1,2,4,6	BIG
127318	4,6	1,2,3,5	
127902	5	1,2,3,4,6	
129198	6	1,2,3,4,5	
130518	1	2,3,4,5,6	
131790	2	1,3,4,5,6	
133118	3	1,2,4,5,6	
134374	4	1,2,3,5,6	
135662	5	1,2,3,4,6	
137030	6	1,2,3,4,5	
138726	1	2,3,4,5,6	
141118	2	1,3,4,5,6	
142566	3	1,2,4,5,6	
145062	4	1,2,3,5,6	
146006	5	1,2,3,4,6	
147438	6	1,2,3,4,5	
148792	1	2,3,4,5,6	
152845	2	1,3,4,5,6	
155526	3	1,2,4,5,6	
157430	4	1,2,3,5,6	
159254	5	1,2,3,4,6	
160318	6	1,2,3,4,5	
161454	1	2,3,4,5,6	
161982	2	1,3,4,5,6	
162582	3	1,2,4,5,6	
163142	1,2,3,4,5,6,7,8		[END]
167000	1,2,3,4,5,6,7,8		[END]
